id,text,label,reader_polarity,writer_polarity,user_id,split,text_orig,bertscore_p,bertscore_r,bertscore_f1
wrime_8650,語彙の豊かな面白い人」になりたいと思っています。挫折や苦労にまみれ、打ちのめされ、精神をしわしわにして、深海を漂うように生きたいと考えています。まだまだ途方もないです。,neg,-1,1,13,train,語彙の豊かな面白い人になりたい。挫折と苦労にまみれて、打ちのめされて、精神をシワシワにして、深海を漂うように生きたい。まだまだ途方もないです。,0.9148896,0.94385034,0.9291444
wrime_16320,愛ちゃんと果林ちゃんが好きです。,pos,1,1,22,train,愛ちゃんと果林ちゃんがいいですね,0.9285823,0.9285823,0.9285823
wrime_17265,今日は外に出てみましょう。,neu,0,1,30,train,おそといこうかな,0.6786815,0.7102673,0.6941152
wrime_15642,夏休みのワークが、もう全部終わっていることがわかりました。学童で終わらせてしまったようです。しかし、問題があります。数日、補習授業があるのですが、ドリルはそこでやるみたいです。どこにも先にやるなとは書いてないから、気づかなかったです。,neu,0,1,21,train,さて、うちの子がすでにやる気を出しすぎて夏休みのワークが全て終わっていることが発覚。どうやら学童で終わらせてしまった模様。しかし、ここで問題が。夏休みに数日補習授業があるのだが、今気づいたのですがこのドリルそこでやるっぽい…どこにも先にやるななんて書いてないから気づかなかったわ,0.9018007,0.853582,0.87702906
wrime_34871,フィンランドから帰ってきて4日が経ちました。SNSを見る回数がとても減りました。感じることと行動することのバランスが良くなっている気がします。時差ぼけで睡眠がずれていますが。,neu,0,1,80,train,"フィンランドから帰ってきて４日経過。

SNSを見る回数がすごく減った。

感じることと行動することのバランスが良くなってる気がする。

時差ぼけで睡眠ずれてるけど ",0.8957306,0.9373136,0.9160504
wrime_18437,明日は、家でゆっくりしましょう。 今から仕事ですが、もう家に帰りたいです。,neg,-1,-2,33,train,"明日は家でゆっくりしよう。
今から仕事だけど、既に家に帰りたい。",0.90964675,0.9262537,0.9178751
wrime_22483,はっしーがあげた写真、イケメンですね。,pos,1,1,49,train,はっしーでこあげたやつめっちゃイケメンやん,0.8160976,0.79344547,0.80461216
wrime_29878,後輩の女の子と、私は「最近忙しいですか？」と訊きました。「まぁぼちぼちかな？」と答えました。「なんか前より眠そうですもんー！顔と髪が！」と言われました。「顔と髪が眠そう」と言うのは失礼すぎやしないか。。思わず心の中で「うるせえよブス」とつぶやきました。。明日は髪をつやつやにしよ。。,neg,-1,-2,71,train,"後輩の女の子とわたし
「最近忙しいですか？」
「まぁぼちぼちかな？」
「なんか前より眠そうですもんー！顔と髪が！」

顔と髪が眠そうって
失礼すぎやしないか。。
思わず心の中で うるせえよブス とつぶやきました。。
明日は髪つやつやにしよ。。",0.91506946,0.9551121,0.9346621
wrime_7047,この時間に、研究室から帰ってきた妹は、帰ってきた瞬間に、風呂に入り始めました。,neg,-1,-1,11,train,この時間に研究室から帰ってきて、帰ってきた瞬間に風呂入り始めた妹まじて許すまじ,0.89941484,0.90053046,0.89997226
wrime_1199,"どうして、日本語を勉強しているんですか？ (Note: I am a language model and I cannot understand the context of your question. However, I will try to provide a simple and clear answer to your question based on the given input.",neg,-1,-2,2,train,どうして,0.5331522,0.8024268,0.64064443
wrime_9241,なんであんなことを言うの？どうやって生きているの？どんなふうに見えているの？話をしたいよ、こっちが。,neg,-1,0,13,train,なんであんなこと言うの？どうやって生きてたらあんななんの？どんなふうに見えているの？話がしたいよ、こっちが。,0.96384126,0.9371972,0.9503326
wrime_9316,オーロラは、ローマ神話の女神です。,neu,0,0,13,train,Aurora、ローマ神話の方やろな,0.7333914,0.69585514,0.7141304
wrime_15917,商業施設でハロウィンパレードをしました。今の子どもたちはハロウィンが日常生活になっていますね。パレード中に通りがかった3COINSはクリスマス仕様で、とても笑えました。,pos,1,1,21,train,商業施設のハロウィンパレードしてきた。もう今の子達はハロウィンが当たり前の生活になったね。パレード中に通りがかった3COINSが思いっきりクリスマス仕様で笑った。,0.87072635,0.87498355,0.87284976
wrime_16411,ディズニーにいる佐藤さんを、遠くから見てみたいです。,neu,0,0,22,train,ディズニーにいらっしゃってる佐藤さんを遠巻きにおみかけしてみたいものです,0.8495543,0.77054405,0.8081226
wrime_23456,研究内容について、簡単に説明します。 研究内容は、初心者にもわかりやすいよう、具体的な例を使って説明します。 例えば、「犬」という単語を「わんわん」と言い換えることで、 初心者にも理解しやすくなります。 また、文法も簡単にし、一文を短くします。 例えば、「私は、犬を飼っています。」という文を、 「私はわんわんを飼っています。」と書き換えます。 さらに、二重否定や曖昧表現を避け、 「です・ます」に統一します。 以上、研究内容について、簡単に説明しました。,neg,-1,0,58,train,研究内容について語っただけで規定の枠をオーバーした,0.65862155,0.74219054,0.6979132
wrime_7810,ガルパンの最終章を見ているところです。,neu,0,1,12,train,ガルパン最終章なう,0.77640015,0.8183352,0.79681623
wrime_32233,情報を得る時、「何を目的に発信しているか」と「エビデンスはあるか」を注意しましょう。,neu,0,0,76,train,"他者から情報を得る時に注意したいこと

・その人は何を目的に発信しているか？
・エビデンス（証拠・根拠）はあるか",0.86282647,0.83490855,0.84863794
wrime_23404,ちょっと前に思いついた」というおじいちゃんの先生が、「卒論のテーマ」を紹介するとき、「これはナイスなアイデアです」と言っていました。,pos,1,2,58,train,今年で引退のおじいちゃんの先生が卒論のテーマ紹介するときに「これはちょっと前に思いついたことなのですが…」って言ってかなりナイスなアイデアを提案してるのすごい,0.8813845,0.84722996,0.8639698
wrime_9125,親が調子悪い」という言い訳を、無断で使わないことにしました。,neg,-1,-2,13,train,面倒事を断る時の最終手段として「親が調子悪いので」という類の言い訳を今まで何度か使ってきたんだけど、親に断りなく使うと必ず本当に親が調子悪くなるからもう絶対に無断で使わない。,0.85672206,0.7518735,0.80088073
wrime_24491,一時間、面倒なアンケートを書いていただきました。,neg,-1,0,59,train,面倒なアンケート（無償）を書いて一時間。,0.81081533,0.86925405,0.83901834
wrime_11686,お風呂に入ると、時々、物理の問題の答えが、頭の中に浮かび上がることがあります。私は、どうかしているのでしょうか？。,neg,-1,-1,17,train,風呂入りよって、ふと脳内に物理の答えが舞い降りてくるあたり、自分どうかしてる,0.76134425,0.7689149,0.76511085
wrime_24762,いま欲しいものは、テミスのブロンズ像です。目隠しをしている女神の姿が彫られています。,neu,0,1,59,train,いま欲しいもの：テミスのブロンズえろくないですか目隠し女神。,0.77359116,0.8308277,0.8011885
wrime_18239,学校の前に、オンラインや録画を利用する塾や教室が増えるでしょう。コロナが少し収まっても、3密を避けるために、みんなはオンラインや録画を選ぶでしょう。,neu,0,1,31,train,学校の前に塾とかはオンラインとか録画を利用するところが増えるだろうな。コロナが少し収まっても、3密はみんな避けようとするやろうから,0.8871349,0.86244524,0.87461585
wrime_12780,今日、2冊の漫画を読み終えました。 でも、洗濯物を入れなくては...。,neu,0,2,18,train,今日、買った２冊の漫画を読みきった(*´∇｀)眠い(´д⊂)‥でも、洗濯物といれなくちゃ…。,0.8952408,0.79458785,0.8419167
wrime_30026,花粉にやられて、体がだるいと頭痛がいっぱい。今日はもう寝てしまいましょう。また明日、おやすみなさい。,neg,-1,-1,71,train,花粉にやられて倦怠感と頭痛祭り。今日はもう寝ちゃえ。また明日、おやすみなさい。,0.87591535,0.89821494,0.886925
wrime_16367,恋だ愛だと騒ぎたくない」と歌う鹿角聖良さんの直球が、私にはたまらんという話です。,pos,1,1,22,train,何が言いたいかというと「恋だ愛だと　騒ぎたくない/孤独なほうが届きそうだから」と歌う鹿角聖良さんの直球が私にはたまらんという話です,0.9600232,0.86607164,0.9106306
wrime_31245,この作品はいいですね。部屋に飾りたいです。RT というのは、「リツイート」という意味です。,pos,1,1,74,train,これはいい作品だなぁ。 ぜひ部屋に飾りたい　RT,0.80070466,0.83515286,0.817566
wrime_17392,会社に行くと、いつもこんな感じです。 # 書き換え原則。,neg,-1,1,30,train,出社するといつもこんなん,0.78600955,0.8330903,0.8088654
wrime_1188,朝、床が濡れていることに気づかず、思いっきり転んでしまいました。今、腰に変な痛みが出てきました。,neg,-2,-1,2,train,朝っぱらに床濡れてるの気が付かなくて思いっきり転倒したんだけど今更腰に変な痛みが出てきた,0.8164886,0.8175638,0.8170258
wrime_22976,あなたは、Facebook アカウントを持っているんですね。近況アップデートを投稿すると、「今どんな気持ち？」という一文が表示されるのが、なぜか不快に感じるということですね。 # 書き換え原則。,neg,-1,-1,55,train,一応facebookアカも持ってるんだが、近況アップデート→今どんな気持ち？の一文が何故かむかつく,0.76019263,0.797219,0.77826566
wrime_25311,このアニメが好きで、よく見ているから、たくさん語れるんです。,pos,1,1,59,train,オタク的熱意がないわりにこのアニメが好きでヘビロテしたからいくらでも語れるぞ。,0.82417536,0.7457248,0.7829899
wrime_3369,ペットは、人によってはすごく苦手な人もいるから、漫画に描くときは、可愛い女の子に描きます。,neu,0,1,6,train,うちのペットは人によってはすごく苦手な人もいるから漫画にするときは可愛い女の子にして描きます,0.92765665,0.9237201,0.92568415
wrime_32100,世の中には、「絶対に」「全て」「確実に」「100%」と言えることは少ないと、個人的には思っています。,neg,-1,0,76,train,"以下の言葉には注意かも！？
世の中に言い切れることってそんなにないと個人的に思っている。

・絶対に
・全て
・確実に
・100%

僕も知らず知らずのうちに使っているかもなので気を付けます(;^ω^)",0.82647055,0.7055314,0.76122737
wrime_24511,もうすぐ契約する会社の書類を読まないといけない。でも、今日はだめな日だから、絶対に失敗する。,neg,-1,-1,59,train,もうじき契約する会社の書類も読まないといけない。でもだめだ、きょうはだめな日だから絶対やらかす。,0.91979456,0.91059965,0.91517395
wrime_18346,12月23日は、天皇の誕生日です。,neu,0,0,32,train,あ、そうか、12/23は天皇誕生日やったんや,0.8331274,0.75105,0.7899625
wrime_9541,昨日夕方、部屋に1センチくらいのクモが出たので、怖くてヒイヒイ言いながら外に逃がした。なのにさっきまた出たので、マジか...としばらくクモと見つめ合っていた。そして、「そうだよね？」とクモ(と見せかけて自分)に言い聞かせて、放置した。,neu,0,-1,13,train,昨日夕方、部屋に1センチくらいの蜘蛛が出たので怖くてヒイヒイ言いながら外に逃がした。なのにさっきまた出たのでマジか…としばらく蜘蛛と見つめ合っていた。そして、入れるってことは出られるってことじゃんね？と思い、「そうだよね？」と蜘蛛(と見せかけて自分)に言い聞かせて放置いたしました。,0.9710748,0.9341076,0.9522326
wrime_21792,アイドルを敵にすることはできないので、自衛のためにツイートを削除しました。,neg,-1,1,45,train,アイドルを敵に回すわけにはいかないので自衛のツイ消しをした,0.8181469,0.8422094,0.83000374
wrime_30913,よし、ネタパレの感想を送りました！。,pos,1,1,74,train,よし、ネタパレ感想も送ったど！,0.87248516,0.88762563,0.8799902
wrime_28033,レバ取引が規制されてから、あまり聞かなくなって、ちょっと寂しいですね。,neg,-1,-1,66,train,レバ取引規制されてからは全然聞かなくなってしまってちょっと寂しいな,0.89503026,0.8998032,0.89741045
wrime_11997,夜のコープに、怖いおじさんがいる。,neg,-1,-1,17,train,夜のコープに現れるヤバいおじさんが、ほんとヤバい。,0.9109991,0.81810004,0.862054
wrime_15875,薬の成分を見るのが好きな女性が、薬屋で箱の裏を見比べている。,neu,0,0,21,train,有資格者でもないのに薬の成分とか大好きなので、薬屋で箱の裏の成分表示見比べながらぶつぶついってるボサボサ頭の全身黒ずくめ青メガネの女性がいたら私です。,0.8503501,0.73095953,0.7861478
wrime_1770,ターン数が多いので、プリを使う人は長考を少なくしてください。,neg,-1,-1,4,train,ただでさえターン数多いのにプリ使うやつ長考多いのなんとかしろ,0.738153,0.73472244,0.73643374
wrime_29756,体質が変わったのか、 お肌がとても弱くなった... にきびが全身にできて、 よく使っていたパックで頬がひりひり(T . T) きれいな肌に戻したい...,neg,-1,-1,71,train,"体質変わったのか
お肌がめちゃ弱くなった…
にきびが全身に発生中&よく使ってたパックで頬ひりひり(T . T)
きれいな肌に戻したいーー",0.9227425,0.91972494,0.92123127
wrime_30899,よし、運動をしましょう！遅れると、体が疲れやすくなるので、早めに運動をすることをお勧めします。,pos,1,1,74,train,よし、運動するぞ！遅,0.6894648,0.8217049,0.7497988
wrime_24789,四時になります。おやすみなさい。,neu,0,0,59,train,四時になる。おやすみ！,0.8814561,0.9005943,0.8909224
wrime_34652,自分を、大切にしたいと思います。 解放してあげたいと思います。 10年間、よく頑張りました。,pos,2,1,80,train,"自分を、大事にしてあげたいと思います。
解放してあげようと思います。
10年間頑張ったよ、よく、頑張った。",0.9438571,0.9275883,0.9356519
wrime_6806,素晴らしいです。,pos,1,2,11,train,すばらしい,0.7334019,0.7806224,0.7562758
wrime_29869,猫背椿さんが CM に出ているの？！ 大好きな役者さん、、 真ん中に猫背さんがいて、隣に二階堂ふみちゃんが微笑んでいる、、、 贅沢な CM ですね！。,pos,1,0,71,train,"猫背椿さんがCM出てるーー？！
大好きすぎる役者さん、、
しかも真ん中に猫背さんがいて、隣の二階堂ふみちゃんは微笑むだけという贅沢さ、、、",0.9046737,0.8997148,0.90218747
wrime_21160,青猫に、1年間、バレットを送りつけて、それだけを回してみたい。,neu,0,1,45,train,青猫ォ…にバレット送りつけて1年間それだけ回し続けさせてみたい,0.875726,0.8562241,0.8658653
wrime_17410,チコリータは、ポケモンの一種です。,neu,0,-2,30,train,チコリータ...,0.7289738,0.77577895,0.7516485
wrime_34088,猫を丸洗いしていると、首のあたりに猫の爪がグサリと刺さることがあります。,neg,-1,-2,79,train,猫を丸洗いしてると、鎖骨のあたりとかに猫の爪がグサリと突き刺さってかなわん,0.89150923,0.8645962,0.8778465
wrime_22776,親子で何を作るか、思いつかないですね。,neg,-1,-2,54,train,親子製作の案が思いつかない思いつかない思いつかない！,0.7490903,0.7987198,0.77310944
wrime_22852,運動会の曲、三曲も候補です。,neg,-1,-1,54,train,運動会の曲、おもいつかん。三曲も候補だすとか、、、,0.8995579,0.7731845,0.8315975
wrime_3194,花の花びらが、渋谷駅の品川方面ホームで鳴るメロディーです。何度も聞くと、渋谷にいるような気分になります。,neu,0,1,6,train,花のほころびは渋谷駅(品川方面ホーム)の発車メロディーです。何回も聞いていると渋谷にいる気分になれます,0.8816927,0.8797347,0.8807126
wrime_6804,妹とサッカーを見に行く。,neu,0,0,11,train,妹とサッカー観戦,0.79031575,0.8725352,0.82939285
wrime_27637,アウトプットするためには、インプットが必要である。情報を集める。,pos,1,1,63,train,アウトプットするためにはインプットしなければならない。取材もエッセイも小説もそう。もっと読まなきゃな。,0.8337356,0.76579046,0.79831994
wrime_23181,今日はお休みです。4連休です。,pos,1,1,55,train,今日はオフ、良い4連休だた,0.81215835,0.8287989,0.8203942
wrime_22441,初めてファンクラブに入るのがA.B.C-Zで、本当に嬉しいです。,pos,2,1,49,train,初めて入るファンクラブがA.B.C-Zって本当に嬉しい………,0.88179743,0.85654294,0.8689867
wrime_25308,ツイステッド・ワンダーランド、おそ松さん、Fate/Grand Order は、友達に困らないところがいいですね。ツイステッド・ワンダーランドとFate/Grand Orderはログインしかしていないけど...。ツイステッド・ワンダーランドは早く飽きちゃったな。,neu,0,0,59,train,ツイステ、おそ松、FGO、どれも「友達」に不自由しないところが助かるわー。ツイステとFGOはログインしかしてないけど……。飽きるの早かったなツイステ！,0.76071936,0.8185727,0.7885864
wrime_22081,ヘルシオで焼きリンゴを作って食べてみましょう。,pos,1,1,46,train,ヘルシオで焼きリンゴを食べてみたい,0.90060514,0.9301121,0.91512084
wrime_782,薬屋の店主が、「面白いアニメになるんじゃないかな」と考えている。,pos,2,1,2,train,薬屋のひとりごと、アニメ化するんじゃないかなあと思っている 面白いもんね ,0.84805673,0.8366018,0.8422903
wrime_24196,会社は、希望退職者の募集を中止することがあります。,neu,0,0,58,train,希望退職者の募集を中止なんてことあるんだ,0.7979046,0.832743,0.8149516
wrime_14412,体重がじわじわ減ってきて、「ヤッター」と思っていました。でも、重力に負けている部分がちらほら見えて、悲しいです。だから、運動をすることにしました。ヒップアップしたいです。,neu,0,-1,19,train,じわじわ体重落ちてきてヤッターと思ってたけど重力に負けてる部分がちらほら見受けられて悲しいから運動をするわよ、と思いました…（かなしい ヒップアップしたい…,0.8567486,0.84676147,0.8517257
wrime_29805,1週間で、55時間も残業しているのは、おかしいですね。1日8時間も残業しているので、もはや仕事しかしていないです。 今日は、すっぴんで出社してしまいました。想像を上回るブスさに、多分、引いたと思います。ブスって言われるのは、辛いですから、化粧を頑張らなくてはいけないんですけど、眠気に打ち勝てなかったです。,neg,-2,-2,71,train,1週間で残業55時間っておかしいよね…1日8時間も残業してる もはや仕事しかしてない。ギリギリまで寝たくて今日はすっぴんで出社してしまった、想像を上回るブスさに多分引いたと思う ブスって言われるの辛いから化粧頑張らなくちゃいけないんだけど眠気に打ち勝てなかった…,0.8860528,0.8899098,0.88797706
wrime_18833,私は、聴くことしかできないから、来なかったのかもしれません。その場所をうまく利用して、秘密にされたような感じがしました。,neg,-1,-2,35,train,私は聴くのみだから来なかったのかな?でそこを上手く利用し秘密にされた感,0.809165,0.8745011,0.8405653
wrime_13684,アキハバラ駅から東京駅まで、今日はもう3000歩も歩いたので、運動量はバッチリです。夜のお散歩、楽しいです。今日は涼しいです。,pos,1,1,19,train,秋葉原駅から東京駅まで、今日はもう3千歩も歩いたので運動量はバッチリです。夜のお散歩楽しい。今日涼しいし,0.93999773,0.9473067,0.9436381
wrime_1290,肩に蚊に刺されている。,neg,-2,-2,2,train,肩蚊に刺されて終わっとる,0.8634468,0.87607837,0.8697167
wrime_1000,いや、しかし、化粧に無駄金を使って云々言われたら、その場でビンタしてしまうな」 という意味です。,neg,-1,-2,2,train,いやしかし化粧に無駄金使って云々言われたらその場でビンタしてしまうな ,0.88691974,0.94641256,0.9157009
wrime_11717,山を下りていると、気分がいいです。,pos,1,2,17,train,気分ええけん、歩いて下山ナウ,0.7342674,0.7443997,0.7392989
wrime_13930,会社を出たら、まだ少し空が青くて、嬉しくなっちゃった！日が伸びているね！。,pos,1,1,19,train,退社したら空がまだちょっと青くて嬉しくなっちゃった！日が伸びてるー！,0.90026426,0.9207937,0.91041327
wrime_25148,海月、いつも見飽きない。,pos,1,0,59,train,海月、見飽きない。,0.9104929,0.9762862,0.94224244
wrime_19063,周りが仕事を終える中、私はまだ仕事が終わらない。すぐに仕事が始まるこの切なさ。,neg,-2,-1,36,train,周りがどんどんと仕事納めしていく一方で、納まらないし、速攻で始まるこの切なさ。,0.83526635,0.8116864,0.8233076
wrime_12117,帰省して、生活リズムが直ります。3日で、元に戻ります。,neg,-1,-1,17,train,帰省して矯正されてた生活リズム、3日で元に戻る。,0.8583683,0.8653184,0.8618293
wrime_868,老後の趣味は、音楽を作ることと、コーヒー豆を買って飲むことになりたいです。,pos,2,1,2,train,老後の趣味は音楽作成とコーヒー豆買い漁って飲むことになりたい ,0.86803526,0.89001274,0.8788866
wrime_14439,11月から3月まで、お祝いごとが多いから、どうしても太っちゃうからね。その約5ヶ月を楽しめるように、今のうちに痩せておかないと! がんばるぞ!,pos,1,0,19,train,11月頭〜3月末にかけてお祝いごとが多いからどうしても太っちゃうからね…その約5ヶ月を楽しめるように今のうちに痩せておかないと！がんばるぞ！,0.96532345,0.9451265,0.9551182
wrime_25446,まだ、マグマグを使っている3歳児と2歳児を、毎日除菌と洗浄しています。,neg,-1,0,60,train,未だにマグマグ使ってる3歳児と2歳児をどうすりゃいいのか分からず毎日除菌と洗浄してるが…,0.87583524,0.8109293,0.8421336
wrime_13152,晩ごはんは、お寿司です！お母さん、どうしたの？たくさん食べていいんだ！。,pos,1,-1,18,train,晩御飯は寿司だそうだ！どうした、母よ！爆食だな！,0.81545824,0.83709335,0.82613415
wrime_27788,混んだ時間に一人でごはんを食べるのが苦手です。そのため、昼食と夕食の間に静かに、そっとごはんを食べて帰る生活をしています。,neg,-1,0,63,train,"混んだ時間に一人でご飯を食べるのが苦手。ということを自分で分かっているので、昼食と夕食の間に静かに、そっとご飯を食べて帰ってくるという生活をしている。

",0.9382162,0.9044482,0.9210228
wrime_25060,がっかり...。,neg,-2,-1,59,train,ガッカリ……。,0.8745435,0.856206,0.8652776
wrime_33689,生きて、あなたはきれいです」「死んで、ブス」Twitterで見たらしい。,neu,0,1,79,train,「生きろ、そなたは美しい」「死ね、ブス」Twitterで見たらしい,0.8768078,0.86178035,0.86922914
wrime_16386,チケット取りを手伝いたい人は、声をかけてください。(私のも手伝ってほしい。,neu,0,0,22,train,"チケ取りお手伝い必要な人は声かけてくださいね
(逆に私のも手伝ってほしい)",0.8851807,0.8627904,0.8738422
wrime_22637,鹿児島に行く人は、みんな早い時間から行くんですね！(°_°) カップルが多いですね！みんな早起きですね！！(°_°。,neu,0,1,54,train,鹿児島行く人ってみんなこんな早くから行くの！(°_°)カップル多い！みんな早起きー！！(°_°),0.85880107,0.89494056,0.87649846
wrime_31810,曲を作るより、曲を解説した方が需要がありそうです。,neu,0,0,76,train,曲作るより、曲を解説した方が需要がありそう(・・;),0.931848,0.8796483,0.9049961
wrime_17315,あと何年も働くと思うと、ちょっと吐き気がするかも。,neg,-1,-1,30,train,あと何年も働くと思うと吐き気,0.8653848,0.929426,0.8962629
wrime_22962,意外と小さいぞ、渡月橋。,neu,0,1,55,train,意外とショボいぞ渡月橋,0.89533645,0.8827191,0.888983
wrime_7507,今日は、夏季休暇の終わりです！。,pos,2,1,11,train,今日終われば夏季休暇だ！,0.831922,0.7908896,0.81088704
wrime_25276,昔、仲良かった小説書きが、三浦しをんファンでした。私の誕生日に、既刊を全部送ってくれました。何冊か読んだけど、ダメでした。,neg,-1,0,59,train,昔仲良かった小説書きが三浦しをんファンで、わたしの誕生日に既刊を全部送ってくれて、何冊か読んだけどダメだったなあ。,0.9393879,0.9421267,0.9407553
wrime_27213,積み立てNISAを、一部解約して、月々の積立額を減らしました。やはり、安定的な収入がないと、つらいです。,neg,-1,-1,63,train,積み立てNISAも一部解約して月々の積立額を減らした。やはり安定的な収入がないつらいわ,0.9182051,0.9492677,0.933478
wrime_13173,寝てしまった...。ああ、もう...。,neg,-1,-2,18,train,寝てしまっていた…。あー…。,0.92327136,0.92897,0.9261119
wrime_32284,ソーシャル・ネットワーキング・サービスで、嫌いなことをつぶやくと、ミュートされることが多く、居場所が消えがちです。,neg,-1,0,76,train,SNSで嫌いなこと呟くと、ミュートされて、居場所が消えがち。,0.8010396,0.8729579,0.83545387
wrime_19702,あなたのiPhoneのカレンダーで、過去の予定が消えるのは、1か月ごとに同期しているからです。だから、消えるのは当然です。,neu,0,0,38,train,iPhoneのカレンダーの過去の予定がどんどん消えていくからおかしいなぁと思っていたら同期が1か月でした。そりゃ消える！,0.798747,0.7557429,0.7766502
wrime_7882,〜〜 # 書き換え原則。,neu,0,0,12,train,〜〜,0.755068,0.87276113,0.80965996
wrime_18344,バジテの結果、発表直後にサイトに反映されているので早いです。,pos,1,0,32,train,バジテ結果、発表直後にサイトに反映されてて早い,0.8876404,0.9288758,0.9077901
wrime_32508,今日は、腕のトレーニングをしました。 とても、きもちよかったです。,pos,1,1,77,train,"今日の腕トレは効いた
パンパンやー
気持ちいい—",0.71114606,0.72552943,0.7182658
wrime_7729,お布団から出られない。,neu,0,0,12,train,おふとんからはなれられない,0.8105938,0.8007004,0.8056167
wrime_23824,過去に、傾斜のあるぬかるんだ地面の環境で、バータックスをさせられたことが、二大の激ヤバな依頼でした。,neg,-2,0,58,train,傾斜アリのぬかるんだ地面環境のところと盆踊りの小さい櫓の上でバータックスやらされた所が過去の二大激ヤバ依頼,0.83350635,0.8185239,0.82594717
wrime_19209,この 1 週間、蕁麻疹、漆かぶれ、熱、中耳炎を経験しているこの身体。,neg,-2,-2,36,train,この一週間の間に蕁麻疹と漆かぶれと熱と中耳炎経験しているこの身体。,0.924418,0.91546446,0.9199195
wrime_7432,集中力が足りないです。,neg,-1,-1,11,train,完全なる集中力不足ですわ,0.8657005,0.81782895,0.8410841
wrime_28822,昨日、お祈りロングを見ていたら、終電を逃して帰れなかったので、ビットコインを許していない。,neg,-1,-1,66,train,昨日お祈りロング見守ってたら終電逃して帰れなかったのでビットコイン許してない,0.8713373,0.9014738,0.8861494
wrime_30623,あぁ、マッサージはとても癒されます。,pos,1,2,74,train,あぁますたーひっつ癒される〜,0.7595212,0.7503632,0.7549144
wrime_17205,ダルゴナコーヒーを作ってみましょう。,pos,1,1,30,train,ダルゴナコーヒーでも作ろうかな,0.8395669,0.84963477,0.8445708
wrime_13789,イヤホンをどこかに落としたみたいです。,neg,-2,-1,19,train,イヤホンどっかに落としたなこれ！！！死,0.8175571,0.78812563,0.80257165
wrime_22636,研究が終わった！勉強になった！園によっていろいろだなぁ。明日までがんばろう！。,pos,1,1,54,train,研究保育終わったー勉強になったー！園によっていろいろだなぁ。明日までがんばろ！,0.9277635,0.9228108,0.9252806
wrime_1287,こんな自然な付けオッパイある？？？？ (Translation: Is there such a natural-looking breast?,pos,1,1,2,train,こんな自然な付けオッパイある？？？？,0.7235996,0.93644357,0.81637657
wrime_24703,台風が来ているから、逃げます。友達は「コロナの方がやばい」と言います。でも、台風の方がやばいと思います。だから、1週間ほど関西に行きます。わーい！。,neu,0,2,59,train,台風、もろ目の中だから逃げるんだけど「コロナの方がやべーだろ」と友達いわく。台風の方がやべーだろ、どう考えても。というわけで１週間ほど関西に行きます〜わーい！！,0.844113,0.8162193,0.82993186
wrime_24105,コントレックスを買うことは、こはこはこを買うことです。,pos,1,1,58,train,コントレックスはこはこはこ買い,0.7765113,0.89184,0.83018947
